sample	samples	cg02855142	cg06587969	cg05479194	cg18311066	cg21050342	cg02045224	cg15206330	cg13169780	cg02166782	cg17461511	cg26539663	cg12373934	cg25896754	cg14351634	cg16203911	cg00807143	cg05348746	cg04009932	cg02690969	cg22175811	cg08119584	cg02842899	cg07991600	cg25053252	cg06317056	cg06365412	cg13468400	cg12041075	cg18198734	cg02087342	cg10792831	cg16397722	cg22949073
TCGA-GC-A3BM-01	TCGA-GC-A3BM-01	0.1901	0.168	0.09424	0.07232	0.08571	0.037	0.1136	0.2517	0.1179	0.326	0.2093	0.2951	0.1181	0.1848	0.2841	0.06977		0.2273	0.2036	0.1493	0.1045	0.2245	0.06414	0.1215	0.3035	0.5339	0.8725	0.3699	0.4857	0.2178	0.6549	0.7744	0.2272
TCGA-CV-6959-01	TCGA-CV-6959-01	0.1897	0.03661	0.03113	0.01816	0.03064	0.01682	0.04564	0.06079	0.04865	0.02557	0.09255	0.05436	0.01922	0.01581	0.02599	0.1044	0.02607	0.0294	0.02493	0.05238	0.05478	0.03929	0.02329	0.02004	0.04604	0.7892	0.8639	0.7673	0.8467	0.8298	0.953	0.9491	0.7247
TCGA-HB-A2OT-01	TCGA-HB-A2OT-01	0.1813	0.05225	0.06897	0.02519	0.01971	0.04801	0.0224	0.03719	0.02759	0.03025	0.08106	0.04015	0.01807	0.02347	0.02499	0.06198	0.0278	0.04777	0.03925	0.07885	0.04105	0.03103	0.0347	0.02546	0.05437	0.7801	0.7766	0.5673	0.5859	0.6687	0.6133	0.9295	0.7136
TCGA-CC-A9FV-01	TCGA-CC-A9FV-01	0.1803	0.04983	0.03487	0.02715	0.03591	0.03306	0.04852	0.03835	0.05078	0.02341	0.1267	0.05254	0.02744	0.02179	0.02784	0.05882	0.04215	0.04404	0.0211	0.0777	0.03491	0.02597	0.02797	0.02505	0.03842	0.8488	0.8206	0.8218	0.8587	0.8643	0.9315	0.941	0.8686
TCGA-DO-A1K0-01	TCGA-DO-A1K0-01	0.1541	0.03613	0.03496	0.02599	0.02922	0.03796	0.04583	0.04337	0.06159	0.03122	0.1697	0.07188	0.02705	0.02629	0.02755	0.0695	0.03019	0.04163	0.02663	0.04754	0.04245	0.02816	0.05367	0.02271	0.03995	0.8135	0.8739	0.8109	0.8936	0.9193	0.9262	0.9354	0.8662
TCGA-X9-A971-01	TCGA-X9-A971-01	0.1512	0.09955	0.06098	0.06849	0.06533	0.04103	0.1376		0.1309	0.2165	0.1272	0.15	0.05581	0.1788	0.168	0.06654	0.2462	0.2092	0.1046	0.09939	0.07803	0.1338	0.05394	0.07942		0.9543	0.8801	0.8973	0.9263	0.5125	0.8867	0.8295	0.3753
TCGA-AR-A256-01	TCGA-AR-A256-01	0.1448	0.05888	0.02793	0.02096	0.02576	0.02148	0.02758	0.03859	0.05639	0.01849	0.08332	0.04182	0.02439	0.01687	0.03031	0.08113	0.03197	0.04832	0.02194	0.1063	0.04385	0.02276	0.04225	0.02565	0.03166	0.7474	0.8227	0.725	0.7251	0.7843	0.9255	0.9508	0.9011
TCGA-A5-A3LP-01	TCGA-A5-A3LP-01	0.1369	0.03115	0.05345	0.03967	0.02749	0.05387	0.03705	0.08798	0.04163	0.04148	0.1178	0.07369	0.04251	0.04799	0.05026	0.06598	0.0355	0.04577	0.05912	0.05448	0.03874	0.03475	0.03778	0.03646	0.04804	0.9084	0.8519	0.8501	0.9467	0.7569	0.9567	0.8877	0.8714
TCGA-BH-A209-11	TCGA-BH-A209-11	0.1368	0.08691	0.1163	0.0135	0.1093	0.02298	0.1004	0.2757	0.1657	0.0207	0.01205	0.1134	0.1142	0.02417	0.09701	0.1878	0.117	0.1105	0.03162	0.1503	0.1618	0.08436	0.05771	0.03556	0.0421	0.9254	0.895	0.7966	0.8589	0.7373	0.9476	0.9659	0.9289
TCGA-E3-A3E2-01	TCGA-E3-A3E2-01	0.1302	0.03662	0.04243	0.02077	0.02534	0.04079	0.02773	0.04183	0.04894	0.0244	0.1526	0.04277	0.02564	0.01724	0.02575	0.09003	0.02815	0.03834	0.02329	0.04215	0.045	0.02699	0.03337	0.02563	0.02609	0.8895	0.8258	0.872	0.9213	0.4186	0.9503	0.9477	0.911
TCGA-AC-A23H-01	TCGA-AC-A23H-01	0.1299	0.1045	0.12	0.01107	0.08492	0.01113	0.1195	0.2296	0.1803	0.0235	0.0149	0.1141	0.1028	0.02958	0.1099	0.1584	0.1131	0.1144	0.03414	0.1733	0.09243	0.07242	0.069	0.037	0.05658	0.8925	0.9309	0.8376	0.8455	0.735	0.974	0.9533	0.9012
TCGA-IE-A6BZ-01	TCGA-IE-A6BZ-01	0.1295	0.1202	0.08405	0.0542	0.0767	0.04917	0.05719	0.2563	0.09715	0.1831	0.1312	0.2547	0.09109	0.2155	0.3181	0.04707	0.2626	0.2667	0.2232	0.1015	0.1116	0.1596	0.05995	0.1224	0.3058	0.9535	0.8989	0.9386	0.9019	0.6061	0.9128	0.7453	0.4842
TCGA-BH-A208-11	TCGA-BH-A208-11	0.1284	0.0871	0.09356	0.01425	0.08051	0.01701	0.1023	0.2074	0.1789	0.02145	0.0118	0.1411	0.1018	0.02243	0.09807	0.1552	0.1185	0.108	0.03139	0.1432	0.1437	0.08336	0.03676	0.03158	0.03449	0.8775	0.8585	0.6023	0.7298	0.6263	0.9573	0.9659	0.8626
TCGA-E9-A228-01	TCGA-E9-A228-01	0.128	0.1136	0.1	0.01161	0.09159	0.01333	0.1092	0.3418	0.1452	0.02725	0.02035	0.1346	0.1027	0.03156	0.128	0.1696	0.1259	0.09711	0.03655	0.1574	0.1448	0.08648	0.03642	0.03439	0.05416	0.9049	0.9384	0.8496	0.8799	0.8248	0.9722	0.9572	0.8612
TCGA-AC-A23H-11	TCGA-AC-A23H-11	0.127	0.08538	0.1023	0.01343	0.07861	0.009921	0.09776	0.2846	0.1575	0.02686	0.01287	0.1197	0.1028	0.02666	0.1148	0.1769	0.1304	0.1244	0.03497	0.1746	0.1418	0.0807	0.06874	0.03126	0.05263	0.8814	0.8778	0.6771	0.8117	0.7342	0.9633	0.9597	0.8182
TCGA-BH-A209-01	TCGA-BH-A209-01	0.1243	0.0811	0.09275	0.01252	0.09038	0.01633	0.1007	0.2595	0.1632	0.02653	0.01699	0.09828	0.1077	0.02289	0.1007	0.1734	0.1309	0.09737	0.03068	0.155	0.07749	0.0783	0.03507	0.02648	0.05306	0.9052	0.9057	0.8122	0.8853	0.901	0.9683	0.9673	0.9269
TCGA-DJ-A1QF-01	TCGA-DJ-A1QF-01	0.1231	0.02823	0.06521	0.3073	0.03327	0.02209	0.4714	0.09421	0.3849	0.04243	0.04418	0.04212	0.03791	0.04995	0.02306	0.06446	0.01551	0.06256	0.03129	0.05715	0.07862	0.05755	0.04357	0.02591	0.07389	0.8343	0.7437	0.8689	0.9194	0.7754	0.4819	0.9122	0.2373
TCGA-S9-A6UB-01	TCGA-S9-A6UB-01	0.1217	0.02422	0.03572	0.03659	0.01717	0.02054	0.0264	0.06057	0.05043	0.02564	0.04932	0.03988	0.02466	0.01799	0.03324	0.06788	0.02932	0.04443	0.05536	0.02995	0.02902	0.03261	0.04309	0.02737	0.04169	0.7878	0.836	0.7579	0.6414	0.8733	0.939	0.9389	0.824
TCGA-AR-A24N-01	TCGA-AR-A24N-01	0.1213	0.04794	0.04352	0.01971	0.04402	0.01535	0.03123	0.03975	0.04262	0.01794	0.064	0.04726	0.02802	0.01422	0.02776	0.1108	0.03849	0.06584	0.02171	0.06253	0.05487	0.02927	0.05558	0.02684	0.01954	0.9039	0.8734	0.9063	0.9391	0.9481	0.9363	0.9622	0.8351
TCGA-2J-AAB9-01	TCGA-2J-AAB9-01	0.1201	0.03654	0.03316	0.02337	0.04285	0.02126	0.05349	0.08606	0.05788	0.02755	0.08295	0.05402	0.03034	0.02615	0.03526	0.07747	0.05624	0.04236	0.02438	0.02846	0.04834	0.03263	0.03298	0.02701	0.03641	0.8655	0.8294	0.8119	0.8786	0.7837	0.9448	0.9317	0.7474
TCGA-CG-5725-01	TCGA-CG-5725-01	0.12	0.04337	0.03885	0.02738	0.03621	0.03543	0.03517	0.047	0.04853	0.02924	0.1616	0.05071	0.03504	0.02757	0.02995	0.06598	0.04356	0.08399	0.02869	0.08628	0.03747	0.02712	0.05472	0.03107	0.0413	0.714	0.5911	0.6789	0.7777	0.5715	0.8957	0.9239	0.6443
TCGA-E9-A226-01	TCGA-E9-A226-01	0.1198	0.07742	0.08932	0.01461	0.0903	0.01067	0.1175	0.3893	0.1806	0.02868	0.01465	0.1295	0.1033	0.02677	0.1443	0.1476	0.1485	0.1265	0.04048	0.144	0.0875	0.07958	0.03339	0.03904	0.05711	0.912	0.9288	0.8191	0.8435	0.8479	0.9596	0.9657	0.8846
TCGA-E9-A1RD-01	TCGA-E9-A1RD-01	0.1134	0.07803	0.1026	0.01138	0.07303	0.02358	0.08935	0.3317	0.1514	0.02174	0.01117	0.09978	0.09135	0.02447	0.1184	0.1371	0.1124	0.111	0.0348	0.1494	0.1188	0.05778	0.03602	0.03204	0.05379	0.874	0.9029	0.8167	0.8652	0.9225	0.9487	0.9487	0.9059
TCGA-BH-A204-11	TCGA-BH-A204-11	0.1104	0.1437	0.1135	0.01071	0.1004	0.01601	0.1005	0.2498	0.1459	0.01857	0.01319	0.1172	0.1172	0.03414	0.1205	0.1673	0.1223	0.1014	0.03198	0.1875	0.1143	0.09793	0.05025	0.03361	0.03496	0.877	0.8751	0.759	0.8467	0.6341	0.9512	0.9557	0.8258
TCGA-E9-A22B-01	TCGA-E9-A22B-01	0.1078	0.1112	0.08712	0.01398	0.06669	0.01417	0.09914	0.3354	0.1474	0.02655	0.0147	0.1019	0.1165	0.03172	0.113	0.1554	0.1246	0.08463	0.03387	0.1426	0.1062	0.08666	0.04386	0.03559	0.06527	0.8697	0.8956	0.8246	0.8348	0.8425	0.9649	0.9617	0.8595
TCGA-E9-A22A-01	TCGA-E9-A22A-01	0.1078	0.09798	0.08743	0.01445	0.076	0.01256	0.1034	0.3645	0.1433	0.03063	0.0144	0.1041	0.1063	0.03247	0.1436	0.1463	0.1317	0.09267	0.03607	0.1764	0.1013	0.08883	0.03995	0.03223	0.05151	0.8625	0.9132	0.8017	0.8685	0.8406	0.9617	0.9486	0.874
TCGA-CA-6716-01	TCGA-CA-6716-01	0.1072	0.0436	0.05067	0.02636	0.02943	0.03284	0.04933	0.03831	0.06752	0.02723	0.1353	0.0533	0.03417	0.02043	0.03459	0.07721	0.03406	0.04822	0.02439	0.05566	0.03962	0.03198	0.03786	0.02641	0.0405	0.8608	0.8948	0.8292	0.9077	0.8161	0.9513	0.956	0.8037
TCGA-DX-A7EF-01	TCGA-DX-A7EF-01	0.1068	0.04192	0.03836	0.01768	0.02317	0.01915	0.03549	0.04954	0.04283	0.02481	0.0303	0.04311	0.02301	0.0203	0.03041	0.05532	0.03325	0.04205	0.02667	0.03405	0.0265	0.02769	0.0256	0.02426	0.02785	0.8559	0.8646	0.8454	0.8914	0.3581	0.9405	0.8585	0.6271
TCGA-D8-A1Y3-01	TCGA-D8-A1Y3-01	0.106	0.1016	0.09499	0.01517	0.08285	0.01955	0.1169	0.3428	0.1884	0.04374	0.01952	0.1415	0.1111	0.03999	0.1901	0.1507	0.1562	0.1089	0.04704	0.1182	0.1467	0.09583	0.03542	0.04153	0.07937	0.9337	0.9563	0.8772	0.9602	0.9312	0.9688	0.96	0.8619
TCGA-BJ-A2NA-01	TCGA-BJ-A2NA-01	0.106	0.03136	0.03362	0.02171	0.02884	0.03976	0.04051	0.03929	0.0554	0.01749	0.1384	0.05594	0.03308	0.01642	0.02541	0.06344	0.02942	0.03855	0.02294	0.08505	0.03977	0.02776	0.05254	0.01735	0.03229	0.8979	0.8628	0.8285	0.8822	0.6342	0.9602	0.9541	0.9209
TCGA-E9-A1N3-01	TCGA-E9-A1N3-01	0.1057	0.1208	0.1067	0.01189	0.07694	0.01031	0.09169	0.2465	0.1524	0.02305	0.0187	0.1093	0.1054	0.02402	0.1096	0.1616	0.09876	0.08178	0.03426	0.1875	0.108	0.07958	0.05407	0.02982	0.03385	0.8841	0.9112	0.8197	0.9194	0.8397	0.9772	0.9686	0.9146
TCGA-62-A472-01	TCGA-62-A472-01	0.104	0.0808	0.06736	0.05155	0.06831	0.05061	0.07908	0.1244	0.09949	0.02455	0.1455	0.09834	0.06077	0.029	0.09805	0.085	0.06478	0.0788	0.07292	0.08124	0.06864	0.07886	0.05128	0.04129	0.06517	0.8387	0.809	0.8364	0.8669	0.7256	0.8926	0.8909	0.7949
TCGA-E9-A1RB-11	TCGA-E9-A1RB-11	0.1034	0.09795	0.1194	0.01707	0.09071	0.01828	0.1024	0.2347	0.1615	0.0228	0.0118	0.09567	0.09837	0.02814	0.1057	0.1501	0.1012	0.106	0.03593	0.1686	0.1038	0.07828	0.0644	0.03279	0.03606	0.8686	0.8755	0.7232	0.7948	0.6753	0.9503	0.9388	0.8987
TCGA-RN-A68Q-01	TCGA-RN-A68Q-01	0.1025	0.03244	0.02847	0.02166	0.02582	0.04537	0.03174	0.06077	0.04191	0.02069	0.05261	0.0339	0.02688	0.01556	0.02579	0.05503	0.02378	0.03121	0.02278	0.07325	0.02697	0.02576	0.0326	0.02082	0.02801	0.839	0.6432	0.44	0.5479	0.6569	0.9171	0.9274	0.7414
TCGA-DX-A3U7-01	TCGA-DX-A3U7-01	0.1017	0.08542	0.07573	0.06133	0.09052	0.03515	0.06903	0.2098	0.06724	0.1684	0.1168	0.1507	0.05298	0.1329	0.1363	0.03805	0.1704	0.1499	0.09583	0.1233	0.07813	0.1548	0.04637	0.07949	0.2244	0.9457	0.9135	0.922	0.9258	0.6189	0.9024	0.8291	0.5408
TCGA-WK-A8XS-01	TCGA-WK-A8XS-01	0.1009	0.09378	0.06083	0.05198	0.05251	0.02821	0.06843		0.1779	0.1926	0.1012	0.1937	0.06099	0.1699	0.1978	0.05668	0.2131	0.1676	0.1165	0.1015	0.08702	0.143	0.0632	0.09521	0.3202	0.9426	0.8723	0.9168	0.9309	0.7141	0.8996	0.8364	0.3791
TCGA-55-6975-01	TCGA-55-6975-01	0.09996	0.05378	0.06951	0.0589	0.06359	0.06591	0.07178	0.05932	0.1058	0.02647	0.1161	0.05149	0.05521	0.06726	0.04468	0.1172	0.05206	0.1009	0.02991	0.05882	0.07286	0.05368	0.08319	0.0386	0.09106	0.8182	0.7099	0.7478	0.6991	0.6502	0.8769	0.8589	0.7044
TCGA-MP-A4T6-01	TCGA-MP-A4T6-01	0.09992	0.06969	0.05216	0.06112	0.05598	0.03696	0.1057	0.08225	0.1017	0.09531	0.112	0.1095	0.04899	0.06495	0.08531	0.112	0.08218	0.1085	0.07838	0.1326	0.075	0.08897	0.05511	0.05059	0.1029	0.8374	0.8646	0.8602	0.9035	0.8518	0.9079	0.8748	0.6426
TCGA-E9-A1RC-01	TCGA-E9-A1RC-01	0.09928	0.08327	0.06912	0.01356	0.08319	0.01562	0.09741	0.3053	0.166	0.02397	0.01267	0.09316	0.09337	0.03109	0.1075	0.1615	0.121	0.1276	0.03669	0.1205	0.08846	0.07365	0.03199	0.02993	0.06734	0.8638	0.9368	0.8056	0.9051	0.7921	0.9633	0.9626	0.7056
TCGA-62-A46P-01	TCGA-62-A46P-01	0.09881	0.0821	0.06893	0.03487	0.05805	0.05684	0.08698	0.09116	0.1019	0.02767	0.1563	0.1016	0.06848	0.01497	0.07576	0.08381	0.07468	0.09038	0.0482	0.05938	0.08885	0.07929	0.05413	0.04127	0.02598	0.853	0.8083	0.8315	0.8626	0.8627	0.9069	0.8858	0.7996
TCGA-91-6848-01	TCGA-91-6848-01	0.09819	0.08785	0.1047	0.049	0.06754	0.04726	0.08195	0.1084	0.1143	0.05827	0.1225	0.1174	0.08058	0.03651	0.07425	0.1118	0.08071	0.1038	0.04757	0.09263	0.1122	0.07332	0.07518	0.06005	0.07964	0.8261	0.7969	0.79	0.8155	0.8288	0.8762	0.8744	0.8041
TCGA-E9-A1RF-01	TCGA-E9-A1RF-01	0.09773	0.09129	0.09437	0.01203	0.0945	0.01515	0.09996	0.209	0.1542	0.02597	0.01208	0.1117	0.1165	0.02244	0.1221	0.1504	0.1104	0.1011	0.03299	0.1219	0.1326	0.1132	0.05523	0.02995	0.04474	0.8738	0.8983	0.7637	0.8399	0.846	0.9701	0.9565	0.867
TCGA-E8-A436-01	TCGA-E8-A436-01	0.09704	0.03215	0.04472	0.02557	0.02544	0.03614	0.04461	0.03001	0.0494	0.02335	0.1046	0.04347	0.02224	0.02041	0.02165	0.06394	0.02802	0.03671	0.02982	0.0268	0.03274	0.0304	0.01878	0.02204	0.0323	0.901	0.8427	0.8391	0.9115	0.8965	0.9443	0.9296	0.9152
TCGA-E9-A22D-01	TCGA-E9-A22D-01	0.09671	0.09855	0.09585	0.01319	0.08009	0.01111	0.08426	0.252	0.1385	0.02654	0.01623	0.1246	0.1009	0.02787	0.125	0.1367	0.1159	0.09448	0.04271	0.1248	0.09771	0.08264	0.03407	0.03635	0.05271	0.881	0.9427	0.8387	0.9011	0.927	0.9682	0.9558	0.8961
TCGA-E9-A22G-01	TCGA-E9-A22G-01	0.09532	0.06467	0.1136	0.01313	0.09055	0.009394	0.08449	0.2705	0.1318	0.02647	0.01966	0.1234	0.08964	0.03652	0.1341	0.1387	0.1259	0.1236	0.04186	0.1318	0.1265	0.07781	0.0226	0.03582	0.07269	0.8923	0.9285	0.804	0.8402	0.9177	0.9634	0.9521	0.864
TCGA-95-7944-01	TCGA-95-7944-01	0.09476	0.05036	0.05732	0.05527	0.04154	0.04536	0.05786	0.03747	0.08048	0.03046	0.1206	0.08726	0.04997	0.02496	0.05011	0.09229	0.0432	0.06981	0.04611	0.07516	0.07383	0.05072	0.06542	0.03298	0.0167	0.8158	0.8259	0.814	0.8606	0.8696	0.9177	0.8898	0.8626
TCGA-50-6591-01	TCGA-50-6591-01	0.09461	0.05968	0.04898	0.05614	0.05915	0.05223	0.07192	0.06266	0.08234	0.02842	0.1447	0.07159	0.06045	0.05066	0.06571	0.07874	0.04936	0.08043	0.03458	0.08302	0.08649	0.08155	0.05366	0.03614	0.06017	0.8677	0.7861	0.8108	0.7248	0.4867	0.8679	0.9051	0.5148
TCGA-E9-A22E-01	TCGA-E9-A22E-01	0.09439	0.08627	0.07796	0.01251	0.07121	0.01312	0.09975	0.219	0.153	0.02174	0.01349	0.1023	0.1011	0.03024	0.127	0.1419	0.1119	0.08986	0.03794	0.1361	0.08738	0.08166	0.03593	0.03247	0.05555	0.8744	0.8967	0.7845	0.8545	0.8247	0.9687	0.9565	0.8224
TCGA-DK-AA6R-01	TCGA-DK-AA6R-01	0.09278	0.03645	0.02736	0.01328	0.02863	0.01797	0.05771	0.1199	0.06285	0.02076	0.02366	0.0491	0.02616	0.01711	0.03615	0.08713	0.03665	0.04781	0.02311	0.08775	0.07477	0.034	0.03213	0.02208	0.0276	0.8736	0.8852	0.8482	0.866	0.8593	0.9614	0.9344	0.6554
TCGA-44-2656-01	TCGA-44-2656-01	0.09246	0.06528	0.08161	0.04905	0.04622	0.06533	0.07317	0.04242	0.08044	0.03721	0.1541	0.07952	0.04875	0.03135	0.05195	0.1061	0.03895	0.07897	0.02131	0.07363	0.09726	0.07229	0.066	0.04101	0.06946	0.8311	0.7989	0.7933	0.857	0.8066	0.8725	0.8801	0.8092
TCGA-AO-A0JF-01	TCGA-AO-A0JF-01	0.09236	0.02239	0.05472	0.02234	0.0153	0.02625	0.02278	0.1992	0.03732	0.03169	0.06859	0.05112	0.02176	0.02124	0.03732	0.08482	0.02839	0.03475	0.04437	0.1035	0.04813	0.03366	0.02164	0.01984	0.04146	0.8876	0.8945	0.8685	0.9092	0.8087	0.9376	0.9664	0.9068
TCGA-50-6592-01	TCGA-50-6592-01	0.09186	0.0713	0.07191	0.04213	0.08683	0.04675	0.1182	0.06376	0.09879	0.02791	0.1294	0.08425	0.07046	0.02018	0.05227	0.1074	0.04603	0.06604	0.01595	0.07542	0.07088	0.06262	0.03387	0.01722	0.06571	0.8366	0.8192	0.8116	0.83	0.7194	0.7556	0.9016	0.7539
TCGA-91-6830-01	TCGA-91-6830-01	0.09079	0.1012	0.08447	0.06732	0.09173	0.06566	0.09999	0.119	0.1296	0.04531	0.1192	0.1213	0.08686	0.04077	0.09713	0.1326	0.08906	0.1135	0.05292	0.09952	0.08773	0.09715	0.1236	0.03977	0.09482	0.8154	0.7977	0.8048	0.8291	0.7832	0.8745	0.8609	0.7704
TCGA-44-6779-01	TCGA-44-6779-01	0.09032	0.07849	0.06087	0.07606	0.08149	0.06086	0.08143	0.06479	0.1274	0.04754	0.2541	0.1091	0.07037	0.0816	0.06573	0.08913	0.0768	0.09143	0.0307	0.128	0.09134	0.06514	0.08603	0.03581	0.06454	0.8262	0.8339	0.7728	0.8079	0.7572	0.88	0.8827	0.7532
TCGA-E2-A1LS-01	TCGA-E2-A1LS-01	0.08944	0.07725	0.07204	0.01255	0.06852	0.01456	0.09296	0.3332	0.1462	0.04146	0.01627	0.09396	0.08358	0.03721	0.1542	0.1375	0.1322	0.1086	0.04166	0.2042	0.1067	0.08903	0.0343	0.03721	0.07061	0.9083	0.9164	0.5641	0.7186	0.8317	0.9627	0.9487	0.7696
TCGA-80-5608-01	TCGA-80-5608-01	0.08919	0.07054	0.09479	0.03705	0.06719	0.02963	0.0595	0.07945	0.1062	0.03223	0.07257	0.102	0.06065	0.04897	0.05282	0.09758	0.07373	0.08064	0.04339	0.06648	0.07841	0.07977	0.04435	0.04258	0.0413	0.8416	0.8078	0.817	0.8432	0.8003	0.8848	0.9027	0.7154
TCGA-CI-6623-01	TCGA-CI-6623-01	0.08885	0.03241	0.03862	0.02382	0.02578	0.02998	0.04358	0.0464	0.06216	0.01749	0.1173	0.04463	0.02967	0.01612	0.02344	0.06726	0.02475	0.04822	0.02458	0.04737	0.04136	0.02927	0.03384	0.01726	0.0244	0.8429	0.8558	0.6967	0.8498	0.7746	0.9203	0.9475	0.8239
TCGA-50-6592-11	TCGA-50-6592-11	0.0885	0.07758	0.06038	0.05959	0.07673	0.07304	0.06264	0.089	0.09222	0.04273	0.1386	0.07959	0.0478	0.04454	0.04668	0.1298	0.05526	0.08058	0.03919	0.07843	0.05735	0.06545	0.0581	0.0342	0.1045	0.7966	0.7564	0.8133	0.7815	0.7503	0.8268	0.8723	0.7341
TCGA-44-7659-01	TCGA-44-7659-01	0.08823	0.07014	0.08147	0.0473	0.05823	0.05087	0.07678	0.03728	0.0938	0.03639	0.1432	0.08054	0.05739	0.01942	0.05901	0.1093	0.06068	0.08993	0.002088	0.07698	0.09349	0.06838	0.05171	0.03704	0.03973	0.875	0.8512	0.8381	0.8741	0.8213	0.9007	0.9165	0.7131
TCGA-69-7978-01	TCGA-69-7978-01	0.08821	0.06552	0.07742	0.05279	0.05733	0.07298	0.06226	0.09777	0.08835	0.04008	0.1707	0.09677	0.06763	0.02317	0.0662	0.09301	0.08359	0.09792	0.0491	0.1032	0.09349	0.05746	0.04186	0.031	0.03338	0.8399	0.8063	0.8057	0.8546	0.8056	0.8879	0.8915	0.8125
TCGA-55-A490-01	TCGA-55-A490-01	0.08613	0.07388	0.07285	0.06262	0.0688	0.06982	0.09305	0.08389	0.08437	0.02594	0.1761	0.09747	0.05447	0.0275	0.06832	0.09213	0.06908	0.06962	0.05121	0.06579	0.06442	0.06818	0.05302	0.0414	0.03992	0.8633	0.7064	0.6691	0.6457	0.3885	0.6018	0.8768	0.623
