sample	samples	chr17:7590695-7590863:-	chr17:7580643-7580745:-	chr17:7579700-7579940:-	chr17:7579312-7579590:-	chr17:7578371-7578811:-	chr17:7577499-7577608:-	chr17:7577019-7577155:-	chr17:7576853-7576926:-	chr17:7576525-7576657:-	chr17:7573927-7574033:-	chr17:7571720-7573008:-	chr17:7565097-7565332:-
TCGA-29-1697-01	TCGA-29-1697-01	6.115	0.3937	6.004	6.949	5.77	7.211	7.166	7.454	0.8151	7.268	6.445	0.0245
TCGA-61-2092-01	TCGA-61-2092-01	6.081	0	6.024	7.05	5.774	7.173	7.254	7.475	1.036	7.298	6.388	0.083
TCGA-25-1321-01	TCGA-25-1321-01	6.079	0.6601	5.714	6.295	5.075	6.56	6.458	6.764	0.6869	6.581	5.737	0
TCGA-25-1313-01	TCGA-25-1313-01	6.044	0.9121	5.942	6.675	5.215	6.86	6.785	7.071	1.375	6.907	6.553	0.2383
TCGA-25-1317-01	TCGA-25-1317-01	5.992	0.357	5.632	6.164	4.794	5.923	5.865	6.235	1.031	6.253	5.721	0.1668
TCGA-24-1419-01	TCGA-24-1419-01	5.952	0.3989	5.816	6.683	5.469	7.048	7.029	7.279	0.2767	7.069	6.535	0.0835
TCGA-24-1428-01	TCGA-24-1428-01	5.95	1.156	6.018	7.133	5.964	7.487	7.396	7.727	1.221	7.529	6.982	0.0899
TCGA-23-2077-01	TCGA-23-2077-01	5.942	0.1609	5.889	6.919	5.66	6.963	7.043	7.36	0	7.129	6.74	0.0367
TCGA-29-1703-01	TCGA-29-1703-01	5.92	0	5.907	6.758	5.337	6.797	6.788	7.006	0.1225	6.84	6.121	0.1374
TCGA-29-1698-01	TCGA-29-1698-01	5.904	0.5305	6.122	7.172	5.878	7.254	7.187	7.495	1.341	7.306	6.522	0.0744
TCGA-31-1950-01	TCGA-31-1950-01	5.893	0.9936	5.986	7.016	5.778	7.176	7.162	7.472	1.119	7.276	6.751	0.1555
TCGA-BR-8078-01	TCGA-BR-8078-01	5.887	0.3862	5.944	6.593	5.044	6.16	6.202	6.523	0.11	6.364	5.182	0.1234
TCGA-25-2393-01	TCGA-25-2393-01	5.874	0	6.479	7.254	5.165	7.051	7.041	7.391	0.7588	7.321	6.798	0.1969
TCGA-D7-8572-01	TCGA-D7-8572-01	5.867	0.2829	5.816	6.617	5.138	6.422	6.327	6.586	1.228	6.405	5.13	0.1914
TCGA-25-1315-01	TCGA-25-1315-01	5.867	0.1258	5.646	6.485	5.201	6.683	6.637	6.847	0.8572	6.612	6.126	0.0563
TCGA-29-1695-01	TCGA-29-1695-01	5.86	0.1865	5.91	6.92	5.72	7.095	7.074	7.358	0.5489	7.061	6.423	0.0568
TCGA-61-1741-01	TCGA-61-1741-01	5.833	0.7647	5.815	6.823	5.629	7.115	7.1	7.438	0.7561	7.218	6.619	0.0395
TCGA-29-1778-01	TCGA-29-1778-01	5.831	1.227	5.8	6.652	5.416	6.843	6.829	7.015	0.565	6.807	6.302	0.4676
TCGA-25-1632-01	TCGA-25-1632-01	5.83	0.2886	5.876	6.791	5.633	7.137	7.042	7.277	0.5147	7.016	6.263	0.0344
TCGA-36-1578-01	TCGA-36-1578-01	5.827	0.5435	5.769	6.628	5.439	7.201	7.164	7.456	0.34	7.21	6.672	0.1373
TCGA-CD-8536-01	TCGA-CD-8536-01	5.816	0	5.802	6.588	5.1	6.421	6.445	6.784	0.2962	6.551	5.591	0
TCGA-D7-8573-01	TCGA-D7-8573-01	5.8	0.6952	5.773	6.66	5.402	6.799	6.724	7.011	0.8356	6.818	5.881	0.1026
TCGA-BR-4280-01	TCGA-BR-4280-01	5.799	0.5246	5.948	6.68	5.179	6.576	6.492	6.883	0.872	6.62	5.715	0
TCGA-25-2404-01	TCGA-25-2404-01	5.794	0.5268	5.902	6.768	5.509	6.866	6.722	6.986	0.503	6.866	6.241	0.2538
TCGA-61-2104-01	TCGA-61-2104-01	5.789	0.4165	5.628	6.563	5.206	6.65	6.499	6.711	0.7206	6.649	5.776	0.1657
TCGA-24-2254-01	TCGA-24-2254-01	5.77	1.398	5.798	6.874	5.676	7.221	7.094	7.411	1.135	7.18	6.284	0.8421
TCGA-F1-6177-01	TCGA-F1-6177-01	5.77	0.2186	5.704	6.658	5.445	6.929	6.812	7.03	0.9481	6.835	6.145	0.0339
TCGA-FP-7998-01	TCGA-FP-7998-01	5.764	0.626	5.855	6.622	5.242	6.606	6.528	6.831	1.061	6.594	5.188	0.0831
TCGA-24-1548-01	TCGA-24-1548-01	5.753	0.7078	5.682	6.531	5.264	6.788	6.694	6.964	0.4662	6.774	5.953	0.086
TCGA-CD-8531-01	TCGA-CD-8531-01	5.751	0.234	5.81	6.597	5.104	6.388	6.406	6.667	0.4475	6.398	5.323	0.0721
TCGA-24-2023-01	TCGA-24-2023-01	5.729	0.0638	5.625	6.57	5.496	6.936	6.918	7.199	0.2751	6.97	6.309	0.0282
TCGA-BR-8361-01	TCGA-BR-8361-01	5.705	0.5888	5.793	6.766	5.385	6.617	6.561	6.774	0.8005	6.604	5.351	0
TCGA-33-4587-01	TCGA-33-4587-01	5.705	0.5073	5.899	6.744	5.524	6.916	7.087	7.432	1.28	7.223	6.99	0
TCGA-VQ-A91S-01	TCGA-VQ-A91S-01	5.705	0.2231	5.705	6.749	5.735	7.343	7.167	7.366	1.442	7.067	6.47	0.0517
TCGA-24-1844-01	TCGA-24-1844-01	5.701	0	5.51	6.45	5.142	6.681	6.683	7.021	0.4122	6.766	5.802	0.159
TCGA-25-2396-01	TCGA-25-2396-01	5.698	0.1811	6.039	6.913	5.392	6.546	6.492	6.826	0.1422	6.796	6.16	0.0415
TCGA-25-1316-01	TCGA-25-1316-01	5.691	0.0736	5.479	6.245	4.979	6.414	6.364	6.63	0.314	6.499	5.886	0.0956
TCGA-24-1551-01	TCGA-24-1551-01	5.686	0.6988	5.729	6.712	5.475	6.935	6.897	7.161	0.5681	6.969	6.446	0.1646
TCGA-LN-A4A5-01	TCGA-LN-A4A5-01	5.685	0.7006	5.897	6.572	5.578	7.132	7.043	7.323	1.373	6.945	5.864	0.0278
TCGA-BR-7958-01	TCGA-BR-7958-01	5.672	0	5.765	6.478	5.032	6.397	6.196	6.306	1.18	6.19	5.386	0
TCGA-13-1511-01	TCGA-13-1511-01	5.67	0.6813	5.53	6.536	5.477	6.895	6.871	7.236	1.152	7.012	6.464	0.0289
TCGA-61-1738-01	TCGA-61-1738-01	5.669	0	5.491	6.142	4.869	6.019	6.008	6.39	0.3429	6.29	5.702	0
TCGA-43-7658-01	TCGA-43-7658-01	5.666	0.6663	5.839	6.596	5.403	6.796	6.954	7.268	1.516	7.139	6.916	0.0657
TCGA-VQ-A8PB-01	TCGA-VQ-A8PB-01	5.664	0	5.072	5.509	4.449	5.961	5.992	6.243	0.6087	5.928	5.98	0
TCGA-29-A5NZ-01	TCGA-29-A5NZ-01	5.661	0.7846	5.588	6.505	5.593	7.11	6.93	7.162	0.991	6.884	5.89	0.128
TCGA-D1-A3DH-01	TCGA-D1-A3DH-01	5.635	0.4609	5.641	6.7	5.548	6.793	7.173	7.558	0.5233	7.385	7.447	0.0581
TCGA-CD-8533-01	TCGA-CD-8533-01	5.629	0.4842	5.613	6.348	5.024	6.345	6.307	6.546	1.813	6.411	5.208	0
TCGA-09-1673-01	TCGA-09-1673-01	5.627	1.185	5.685	6.587	5.511	6.999	6.918	7.272	1.026	6.941	6.345	0.3222
TCGA-36-1580-01	TCGA-36-1580-01	5.625	0.5027	5.742	6.677	5.391	6.732	6.812	7.089	0.4036	6.82	6.46	0.2411
TCGA-29-1710-01	TCGA-29-1710-01	5.606	0.8448	5.299	6.244	4.89	6.344	6.369	6.663	1.205	6.503	5.696	0.1134
TCGA-24-1558-01	TCGA-24-1558-01	5.6	0.4468	5.658	6.718	5.57	7.14	7.066	7.356	0.8824	7.088	6.442	0.056
TCGA-25-1328-01	TCGA-25-1328-01	5.592	0.9945	5.604	6.607	5.452	6.947	6.812	7.015	0.5344	6.752	6.132	0.2394
TCGA-04-1519-01	TCGA-04-1519-01	5.589	0	5.509	6.312	4.97	6.534	6.315	6.618	0.3274	6.53	6.229	0
TCGA-85-7950-01	TCGA-85-7950-01	5.582	0.5249	5.943	7.029	5.624	6.983	7.282	7.604	0.9135	7.304	7.024	0.0542
TCGA-25-1323-01	TCGA-25-1323-01	5.574	0.4423	5.315	6.158	4.888	6.323	6.296	6.501	0.2452	6.378	5.71	0.0734
TCGA-24-2261-01	TCGA-24-2261-01	5.572	1.064	5.213	6.112	4.885	6.346	6.275	6.521	0.4774	6.344	5.517	0.0243
TCGA-VR-A8EO-01	TCGA-VR-A8EO-01	5.569	0.8208	5.511	6.38	5.391	7.131	7.025	7.266	1.129	6.918	6.23	0.1882
TCGA-BR-8372-01	TCGA-BR-8372-01	5.564	0.5882	5.642	6.492	5.286	6.596	6.427	6.617	0.3032	6.401	5.115	0
TCGA-HU-A4G6-01	TCGA-HU-A4G6-01	5.553	0.2139	5.639	6.48	5.076	6.221	6.28	6.51	1.677	6.393	5.663	0.0495
TCGA-HU-8602-01	TCGA-HU-8602-01	5.553	0.183	5.697	6.643	5.383	6.687	6.647	6.992	0.6075	6.607	5.367	0.161
TCGA-24-1416-01	TCGA-24-1416-01	5.547	0	5.336	5.844	4.155	5.482	5.607	5.796	0.8204	5.716	5.294	0
TCGA-25-1635-01	TCGA-25-1635-01	5.536	0.5183	5.514	6.352	5.143	6.507	6.435	6.709	0.8772	6.588	5.757	0
TCGA-D7-A6EZ-01	TCGA-D7-A6EZ-01	5.53	0.6106	5.768	6.77	5.35	6.675	6.611	6.871	0.985	6.633	5.845	0.0328
TCGA-29-1699-01	TCGA-29-1699-01	5.526	0.3389	5.242	6.09	4.927	6.399	6.363	6.761	0.823	6.564	5.731	0
TCGA-AB-2896-03	TCGA-AB-2896-03	5.521	0.8826	5.237	5.753	4.473	5.881	6.003	6.243	2.638	6.102	5.131	0
TCGA-23-1109-01	TCGA-23-1109-01	5.511	0.5716	5.71	6.767	5.355	6.774	6.712	6.933	1.054	6.76	6.418	0
TCGA-29-1705-01	TCGA-29-1705-01	5.509	0	5.546	6.434	5.044	6.359	6.382	6.708	0.4	6.512	5.806	0
TCGA-24-1467-01	TCGA-24-1467-01	5.506	1.173	5.665	6.649	5.528	7.073	7.008	7.236	1.255	6.935	6.387	0.3926
TCGA-61-2098-01	TCGA-61-2098-01	5.498	0.6403	5.299	6.187	4.988	6.228	6.293	6.579	0.6237	6.343	5.545	0.0575
TCGA-24-1552-01	TCGA-24-1552-01	5.491	0.1684	5.488	6.471	5.314	6.872	6.917	7.15	0.3099	6.85	6.214	0
TCGA-29-1770-01	TCGA-29-1770-01	5.49	0.1343	5.384	6.4	5.125	6.496	6.555	6.834	1.093	6.724	6.123	0
TCGA-60-2716-01	TCGA-60-2716-01	5.488	0.4631	5.609	6.727	5.502	6.967	7.059	7.321	0.6656	7.072	6.788	0.191
TCGA-06-1804-01	TCGA-06-1804-01	5.47	1.855	5.992	6.638	5.408	7.064	6.896	7.307	0.9875	7.028	6.52	0.5361
TCGA-FA-A7Q1-01	TCGA-FA-A7Q1-01	5.469	0.4615	5.363	6.276	5.333	6.636	6.954	7.234	1.036	7.041	7.082	0.1358
TCGA-D7-5577-01	TCGA-D7-5577-01	5.468	0.1102	5.813	6.706	5.23	6.293	6.35	6.549	0.453	6.382	5.625	0.1873
TCGA-24-1469-01	TCGA-24-1469-01	5.467	0.6926	5.554	6.511	5.141	6.689	6.616	6.995	0.8673	6.982	6.214	0.1346
TCGA-BR-8686-01	TCGA-BR-8686-01	5.466	0	5.358	6.084	4.555	5.875	5.683	6.204	1.048	5.903	4.956	0
TCGA-CI-6623-01	TCGA-CI-6623-01	5.463	0.0897	5.597	6.514	5.374	6.542	6.868	7.258	0.3765	7.082	7.071	0.1164
TCGA-20-1685-01	TCGA-20-1685-01	5.459	0.6523	5.378	6.208	5.006	6.367	6.39	6.689	1.112	6.499	5.773	0.2663
TCGA-61-1919-01	TCGA-61-1919-01	5.456	0.2909	5.435	6.25	4.905	6.207	6.109	6.299	0.4893	6.177	5.598	0
TCGA-D3-A3C6-06	TCGA-D3-A3C6-06	5.455	0.3119	5.705	6.727	5.467	6.862	7.074	7.418	0.6847	7.121	6.928	0
TCGA-19-5960-01	TCGA-19-5960-01	5.452	0.6346	5.825	1.845	5.408	6.944	6.864	7.262	1.191	6.892	6.579	0
TCGA-OY-A56P-01	TCGA-OY-A56P-01	5.448	0.5726	5.439	6.385	5.367	6.806	6.766	7.024	0.3595	6.683	5.66	0
TCGA-09-2048-01	TCGA-09-2048-01	5.438	0.4291	5.487	6.413	5.102	6.536	6.483	6.706	0.8519	6.732	6.56	0.2649
TCGA-A1-A0SK-01	TCGA-A1-A0SK-01	5.434	0.1589	5.623	6.729	5.48	6.964	7.036	7.339	0.5811	6.961	6.862	0.106
TCGA-BR-8589-01	TCGA-BR-8589-01	5.426	0	5.687	6.575	5.223	6.401	6.328	6.548	0.5065	6.308	5.401	0.1097
TCGA-3U-A98F-01	TCGA-3U-A98F-01	5.425	0	5.378	6.188	5.106	6.494	6.64	6.782	0.9253	6.376	6.269	0.1236
TCGA-24-1424-01	TCGA-24-1424-01	5.424	0.1304	5.272	6.136	4.769	6.366	6.321	6.589	0.1973	6.389	5.741	0.1947
TCGA-D7-8575-01	TCGA-D7-8575-01	5.422	0.4877	5.511	6.38	4.982	6.082	6.011	6.308	1.628	6.116	4.867	0.1046
TCGA-IG-A8O2-01	TCGA-IG-A8O2-01	5.411	1.014	5.47	6.454	5.482	6.951	6.925	7.206	1.004	6.958	6.598	0.0572
TCGA-23-1026-01	TCGA-23-1026-01	5.41	0.451	5.323	6.162	4.912	6.253	6.304	6.557	1.017	6.422	5.867	0.0896
TCGA-BR-8364-01	TCGA-BR-8364-01	5.409	0.2868	5.568	6.338	4.723	5.94	5.96	6.231	0.7201	6.059	4.541	0.0274
TCGA-Z6-A8JD-01	TCGA-Z6-A8JD-01	5.405	0.3063	5.18	6.023	5.02	6.503	6.414	6.554	0.6876	6.339	5.409	0.0246
TCGA-24-1842-01	TCGA-24-1842-01	5.404	0.2531	5.482	6.537	5.282	6.539	6.455	6.866	0.1033	6.665	5.779	0.0299
TCGA-BR-6455-01	TCGA-BR-6455-01	5.395	0.3263	5.629	6.593	5.297	6.767	6.665	6.824	0.8369	6.59	5.8	0.0625
TCGA-26-5132-01	TCGA-26-5132-01	5.39	1.115	5.758	6.335	5.237	6.948	6.876	7.245	0.0901	6.946	6.684	0.4082
TCGA-61-2003-01	TCGA-61-2003-01	5.39	0.2111	5.298	6.304	5.071	6.455	6.349	6.571	0.6502	6.457	5.513	0.0327
TCGA-AY-A69D-01	TCGA-AY-A69D-01	5.379	0.5177	5.372	6.124	4.926	6.216	6.404	6.674	1.676	6.422	6.075	0.112
TCGA-D7-A4YX-01	TCGA-D7-A4YX-01	5.377	0.6516	5.586	6.521	5.255	6.753	6.799	7.004	1.099	6.571	5.795	0.2472
TCGA-57-1582-01	TCGA-57-1582-01	5.373	0.084	5.505	6.5	5.323	6.786	6.752	7.049	0.1281	6.692	6.058	0
TCGA-DB-5277-01	TCGA-DB-5277-01	5.372	0.5555	5.539	6.503	5.307	6.774	6.867	7.13	0.0731	6.92	6.805	0
TCGA-GS-A9TT-01	TCGA-GS-A9TT-01	5.364	0	5.283	6.12	5.049	6.275	6.417	6.701	1.228	6.449	6.041	0
TCGA-F4-6854-01	TCGA-F4-6854-01	5.352	0.0906	5.461	6.343	5.17	6.544	6.738	7.01	0.0706	6.792	6.343	0.0402
TCGA-VQ-AA69-01	TCGA-VQ-AA69-01	5.348	0.5092	5.269	6.196	5.145	6.688	6.545	6.74	0.7274	6.48	5.59	0
TCGA-AA-3526-01	TCGA-AA-3526-01	5.346	0.4859	5.393	6.122	4.98	6.143	6.201	6.891	0.7504	6.655	6.244	0.0975
TCGA-BB-4228-01	TCGA-BB-4228-01	5.344	0	5.46	6.542	5.317	6.63	6.802	7.02	0.2106	6.695	6.179	0
TCGA-61-1725-01	TCGA-61-1725-01	5.343	0.8272	5.615	6.491	5.173	6.466	6.575	6.868	0.1805	6.571	6.391	0
TCGA-B5-A1MW-01	TCGA-B5-A1MW-01	5.34	0	5.355	6.155	5.109	6.396	6.63	6.889	0.7708	6.736	6.453	0.1268
TCGA-25-1627-01	TCGA-25-1627-01	5.335	0.146	5.823	6.822	5.355	6.671	6.632	6.836	0.6947	6.562	6.047	0.0331
TCGA-CG-5720-01	TCGA-CG-5720-01	5.329	0.289	5.378	6.246	4.995	6.384	6.24	6.43	0.2806	6.351	5.457	0
TCGA-04-1514-01	TCGA-04-1514-01	5.32	0.5319	5.434	6.492	5.287	6.86	6.741	7.119	0.5079	6.878	6.327	0.1481
TCGA-A7-A4SE-01	TCGA-A7-A4SE-01	5.32	0.5142	5.313	6.532	5.302	6.663	6.902	7.275	2.363	7.019	6.7	0.0659
TCGA-AB-2830-03	TCGA-AB-2830-03	5.319	0.7214	5.264	6.098	4.995	6.609	6.551	6.727	2.491	6.499	5.595	0
TCGA-AX-A3GI-01	TCGA-AX-A3GI-01	5.318	0.1371	5.34	6.362	5.156	6.366	6.739	7.124	0.9459	6.925	6.43	0.0614
TCGA-3P-A9WA-01	TCGA-3P-A9WA-01	5.316	0.5227	5.215	6.221	5.295	6.833	6.661	6.856	1.271	6.641	6.075	0.0967
TCGA-IG-A3QL-01	TCGA-IG-A3QL-01	5.315	0.1165	5.575	6.683	5.517	7.101	7.065	7.339	1.119	6.986	6.531	0.0262
TCGA-D7-6815-01	TCGA-D7-6815-01	5.313	0.1614	5.355	6.252	5.078	6.54	6.447	6.688	0.9729	6.294	5.511	0.0368
TCGA-BR-8060-01	TCGA-BR-8060-01	5.313	0.1565	5.386	6.14	4.744	6.06	5.981	6.218	0.6158	5.954	4.826	0.0356
TCGA-23-1122-01	TCGA-23-1122-01	5.312	0.3207	5.022	5.864	4.706	6.409	6.342	6.597	1.452	6.358	6.232	0.1768
TCGA-WK-A8XT-01	TCGA-WK-A8XT-01	5.31	0.182	5.37	6.192	5.057	6.326	6.481	6.756	0.3338	6.509	6.275	0.1601
TCGA-24-2033-01	TCGA-24-2033-01	5.308	0.2064	5.498	6.416	5.119	6.256	6.208	6.515	0.562	6.352	5.432	0
TCGA-91-8499-01	TCGA-91-8499-01	5.306	0	5.306	6.466	5.371	6.349	6.73	7.017	0.6788	6.703	6.43	0.1955
TCGA-22-5485-01	TCGA-22-5485-01	5.305	0.1318	5.467	6.581	5.313	6.804	6.917	7.209	0.2896	6.962	6.72	0.1157
TCGA-DX-A2IZ-01	TCGA-DX-A2IZ-01	5.303	0.2145	5.026	6.324	5.163	6.38	6.565	6.885	0.7507	6.7	6.392	1.548
TCGA-96-A4JL-01	TCGA-96-A4JL-01	5.303	0.1003	5.379	6.491	5.307	6.459	6.718	7.061	0.8769	6.796	6.422	0.13
TCGA-D7-8574-01	TCGA-D7-8574-01	5.301	1.135	5.637	6.391	5.063	6.053	6.097	6.256	2.219	6.049	5.238	0
TCGA-FU-A3TX-01	TCGA-FU-A3TX-01	5.301	0.3162	5.215	6.349	5.174	6.481	6.654	7.067	0.6501	6.821	6.909	0.0897
TCGA-BR-8380-01	TCGA-BR-8380-01	5.301	0.2967	5.359	6.253	4.811	6.011	5.951	6.152	1.116	5.936	4.696	0.0285
TCGA-IG-A3I8-01	TCGA-IG-A3I8-01	5.299	1.385	5.242	6.164	5.176	6.837	6.76	6.968	2.067	6.736	6.115	0.0822
TCGA-AB-2938-03	TCGA-AB-2938-03	5.299	1.232	5.11	6.015	4.969	6.695	6.646	6.977	2.791	6.713	5.986	0.7117
TCGA-VR-AA7D-01	TCGA-VR-AA7D-01	5.296	0.0508	5.252	6.22	5.276	6.733	6.556	6.767	0.6112	6.497	5.493	0.0224
TCGA-29-1763-01	TCGA-29-1763-01	5.29	0.683	5.644	6.678	5.284	6.754	6.693	6.939	1.097	6.734	6.144	0.5942
TCGA-29-1776-01	TCGA-29-1776-01	5.285	0.2017	5.392	6.328	4.968	6.329	6.331	6.582	0.2318	6.448	5.823	0.0915
TCGA-VQ-A8P2-01	TCGA-VQ-A8P2-01	5.276	0.4303	5.402	6.5	5.146	6.586	6.546	6.773	0.3439	6.525	5.85	0.085
TCGA-30-1860-01	TCGA-30-1860-01	5.273	0	5.235	5.959	4.612	6.058	5.935	6.111	0.2904	5.915	5.326	0
TCGA-EO-A3B1-01	TCGA-EO-A3B1-01	5.27	0	5.146	6.338	5.289	6.617	6.991	7.281	0.2815	7.16	7.251	0
TCGA-VQ-A924-01	TCGA-VQ-A924-01	5.264	0.8105	5.085	6.122	5.277	6.909	6.769	6.918	0.8822	6.639	6.196	0.1969
TCGA-25-2409-01	TCGA-25-2409-01	5.264	0.1476	5.417	6.282	4.988	6.107	5.958	6.166	0.6251	6.089	5.548	0.0663
TCGA-YL-A8SP-01	TCGA-YL-A8SP-01	5.262	0	0.6561	1.207	0.7334	1.177	1.189	1.127	0	1.156	1.131	0.044
TCGA-EI-6511-01	TCGA-EI-6511-01	5.253	0.1793	5.603	6.459	5.246	6.585	6.706	7.075	0.9428	6.902	6.801	0
TCGA-HF-A5NB-01	TCGA-HF-A5NB-01	5.252	0.2823	5.581	6.601	5.17	6.53	6.381	6.493	0.7633	6.3	5.452	0.1506
TCGA-CG-5725-01	TCGA-CG-5725-01	5.251	0.5238	5.835	6.735	5.208	2.331	2.543	2.311	0	1.73	1.624	0
TCGA-ZJ-A8QO-01	TCGA-ZJ-A8QO-01	5.251	0.0903	5.186	6.098	4.963	6.153	6.372	6.626	1.17	6.388	6.148	0.0401
TCGA-FP-8210-01	TCGA-FP-8210-01	5.251	0	5.563	6.223	4.732	5.852	5.738	5.946	1.431	5.779	4.817	0.0727
TCGA-23-1123-01	TCGA-23-1123-01	5.25	0.0619	5.164	6.038	4.972	6.647	6.55	6.867	0.3076	6.709	6.262	0
TCGA-CR-6487-01	TCGA-CR-6487-01	5.245	0.199	5.369	6.432	5.327	6.539	6.731	6.989	0.6879	6.764	6.304	0.0903
TCGA-59-2352-01	TCGA-59-2352-01	5.242	0.5728	5.411	6.503	5.203	6.545	6.388	6.686	0.2163	6.505	5.917	0.0851
TCGA-61-2009-01	TCGA-61-2009-01	5.237	0	5.441	6.247	4.79	6.137	6.137	6.384	0.6275	6.258	5.313	0
TCGA-MY-A913-01	TCGA-MY-A913-01	5.235	0.1721	5.155	5.942	4.794	6.085	6.342	6.649	0.3164	6.441	6.118	0
TCGA-S3-AA0Z-01	TCGA-S3-AA0Z-01	5.231	0.1688	5.535	6.277	5.096	6.508	6.633	6.987	1.26	6.762	6.437	0.0761
TCGA-09-1662-01	TCGA-09-1662-01	5.23	0.4793	5.256	6.231	5.027	6.58	6.569	6.894	0.5736	6.591	5.843	0.1417
TCGA-DC-5869-01	TCGA-DC-5869-01	5.219	0	5.447	6.374	5.067	6.425	6.662	7.054	0.5892	6.839	6.85	0
TCGA-24-2038-01	TCGA-24-2038-01	5.205	0.2989	5.464	6.253	4.772	6.176	6.074	6.272	0.4866	6.255	5.781	0.0358
TCGA-A2-A259-01	TCGA-A2-A259-01	5.204	0.1555	5.388	6.217	4.976	6.33	6.497	6.765	0.6932	6.577	6.178	0.0354
TCGA-25-2398-01	TCGA-25-2398-01	5.202	0	5.506	6.616	5.105	6.638	6.586	6.836	0.7919	6.712	6.01	0.2512
TCGA-BR-A4QI-01	TCGA-BR-A4QI-01	5.201	0.0937	5.272	6.315	5.25	6.784	6.731	6.957	0.8316	6.858	6.302	0.2865
TCGA-VR-A8EY-01	TCGA-VR-A8EY-01	5.2	0.0738	5.025	6.004	5.011	6.522	6.451	6.546	0.3614	6.265	5.42	0
TCGA-18-5595-01	TCGA-18-5595-01	5.198	0	5.395	6.502	5.352	6.763	6.822	7.128	0.1032	6.95	6.582	0
TCGA-4E-A92E-01	TCGA-4E-A92E-01	5.193	0.2219	5.115	5.946	4.644	5.883	6.161	6.42	1.194	6.209	5.903	0
TCGA-A5-A7WK-01	TCGA-A5-A7WK-01	5.193	0.0755	5.147	6.017	5.075	6.267	6.594	6.902	0.5435	6.74	6.863	0
TCGA-DC-6681-01	TCGA-DC-6681-01	5.189	0.2713	5.29	6.014	4.983	6.246	6.514	6.902	0.3414	6.666	6.337	0.0843
TCGA-20-1682-01	TCGA-20-1682-01	5.188	0.3224	4.905	5.597	4.392	5.767	5.682	5.91	0.2557	5.895	5.323	0
TCGA-61-2000-01	TCGA-61-2000-01	5.185	0.4628	5.614	6.628	5.369	6.732	6.662	6.845	0.5736	6.534	6.066	0.2541
TCGA-L5-A8NH-01	TCGA-L5-A8NH-01	5.18	0.6537	5.049	5.974	4.949	6.434	6.412	6.699	0.8904	6.339	5.262	0
TCGA-AB-2885-03	TCGA-AB-2885-03	5.177	1.457	5.225	6.402	5.259	6.881	6.844	7.15	3	6.955	5.999	0.187
TCGA-23-1029-01	TCGA-23-1029-01	5.175	0.5378	5.354	6.368	5.18	6.651	6.57	6.854	0.5901	6.639	5.751	0
TCGA-VQ-A94O-01	TCGA-VQ-A94O-01	5.174	0.4868	5.135	6.211	5.243	6.677	6.602	6.879	1.275	6.497	6.041	0
TCGA-61-2110-01	TCGA-61-2110-01	5.174	0.3243	5.261	6.062	4.522	5.981	6.058	6.341	0.1971	6.012	5.815	0
